lags,folds,mae_mean,mae_std,rmse_mean,mape_mean
28_dias,6,214.16099443692997,116.61144947619037,336.19262396763156,9.20128087626629
14_dias,6,221.38187012614094,123.62426996504146,339.1810683775828,9.148319392730789
7_dias,6,226.95789770052258,132.49746054509546,324.94294298879686,9.39053833357903
hibrido_semanal,6,264.4999045936056,193.88116027859974,401.3381812632067,10.642049437878386
