fold,train_start,train_end,valid_start,valid_end,n_train,mae,rmse,mape
1,2012-10-02,2018-04-04,2018-04-05,2018-04-18,2011,382.1164390969488,606.7279804080295,23.006194308970905
2,2012-10-02,2018-04-25,2018-04-26,2018-05-09,2032,296.0890393214214,347.8112304599168,8.527878043121882
3,2012-10-02,2018-05-16,2018-05-17,2018-05-30,2053,225.31324697248579,417.15100395506494,9.090845025414334
4,2012-10-02,2018-06-06,2018-06-07,2018-06-20,2074,90.46866138110158,115.9254341597143,3.0471731095159726
5,2012-10-02,2018-06-27,2018-06-28,2018-07-11,2095,232.8527528735512,427.7314507711713,9.35623117319064
6,2012-10-02,2018-07-18,2018-07-19,2018-08-01,2116,76.92467865084015,95.78512942998113,2.38580918373844
