window,folds,mae_mean,mae_std,rmse_mean,mape_mean,n_train_mean
todo_historico,6,217.29413638272482,117.87255037219484,335.1887048639797,9.23568847399203,2063.5
730_dias,6,230.1543460225934,146.7618644578089,346.5571904361396,9.482053323507902,730.0
365_dias,6,235.17325285329022,147.020021267281,350.49927898061907,9.848274911896091,365.0
180_dias,6,245.79073120272324,127.96751322183485,366.2294687166091,9.921365290431995,180.0
