modelo,categoria,mae,rmse,mape
ETS semanal,Estadistico,115.03687193830301,200.28592180416902,3.792499019269973
Random Forest,Machine Learning,116.02532109282879,206.82554818849218,3.8863072347001753
LSTM,Deep Learning,450.2443621944103,487.55196577383936,14.036915213723672
