model,folds,mae_mean,mae_std,rmse_mean,mape_mean,trend,damped_trend,seasonal,seasonal_periods
ETS_NA,6,240.00946533452534,151.62073592806078,340.7817851468906,9.724072676783406,none,False,add,7
ETS_DA,6,240.04013096272692,151.5419071957044,340.881929978491,9.725036037416594,add,True,add,7
ETS_AA,6,240.04837991681848,152.11477564264345,340.66626085565355,9.719873774463345,add,False,add,7
