fold,train_start,train_end,valid_start,valid_end,n_train,mae,rmse,mape
1,2012-10-02,2018-04-04,2018-04-05,2018-04-18,2011,387.31249846403017,611.8353804002118,23.1962503441334
2,2012-10-02,2018-04-25,2018-04-26,2018-05-09,2032,281.67462642290695,319.42314087802947,8.0925428639205
3,2012-10-02,2018-05-16,2018-05-17,2018-05-30,2053,223.07620093474043,417.41597994172037,9.012943956265097
4,2012-10-02,2018-06-06,2018-06-07,2018-06-20,2074,89.39351739479336,118.99176699053072,3.0266788815061787
5,2012-10-02,2018-06-27,2018-06-28,2018-07-11,2095,222.52209298027472,451.55601106399166,9.25818077330175
6,2012-10-02,2018-07-18,2018-07-19,2018-08-01,2116,80.98703042483635,97.93346453130252,2.62108843847086
