fold,train_start,train_end,valid_start,valid_end,n_train,failed,mae,rmse,mape
1,2012-10-02,2018-04-04,2018-04-05,2018-04-18,2011,False,488.63517322724965,617.1498816294015,24.064560770111694
2,2012-10-02,2018-04-25,2018-04-26,2018-05-09,2032,False,93.67100400808519,102.80671802823127,2.7542223387067075
3,2012-10-02,2018-05-16,2018-05-17,2018-05-30,2053,False,284.99562446117955,437.28388161874625,10.751552275940748
4,2012-10-02,2018-06-06,2018-06-07,2018-06-20,2074,False,156.3788689115197,185.05589067496703,5.138055709111354
5,2012-10-02,2018-06-27,2018-06-28,2018-07-11,2095,False,309.85298870170885,567.1652154031748,12.421336614450746
6,2012-10-02,2018-07-18,2018-07-19,2018-08-01,2116,False,106.52313269740931,135.229123526823,3.2147083523791933
