window,folds,mae_mean,mae_std,rmse_mean,mape_mean,n_train_mean
todo_historico,6,217.2941363827259,117.87255037219657,335.1887048639792,9.235688473992054,2063.5
730_dias,6,230.154346022592,146.76186445780633,346.55719043613755,9.482053323507852,730.0
365_dias,6,235.17325285329125,147.02002126728274,350.49927898062145,9.848274911896151,365.0
180_dias,6,245.79073120272298,127.96751322183549,366.229468716608,9.921365290431988,180.0
