lags,folds,mae_mean,mae_std,rmse_mean,mape_mean
28_dias,6,214.16099443693034,116.61144947618946,336.1926239676311,9.201280876266297
14_dias,6,221.38187012613847,123.62426996504279,339.1810683775804,9.14831939273071
7_dias,6,226.9578977005235,132.49746054509492,324.94294298879754,9.390538333579059
hibrido_semanal,6,264.49990459360373,193.88116027859988,401.3381812632052,10.642049437878317
