modelo,categoria,mae,rmse,mape
ETS semanal,Estadistico,115.036871938303,200.28592180416905,3.792499019269973
Random Forest,Machine Learning,116.0253210928288,206.82554818849215,3.8863072347001753
LSTM,Deep Learning,450.2443621944103,487.55196577383936,14.036915213723672
